GEO,GEOID
2158,1
51515,2
72103,3
72105,3
72107,3
72099,3
72091,3
72097,3
72095,3
72093,3
72101,3
72147,3
72089,3
72087,3
72085,3
72083,3
72081,3
72111,3
72079,3
72077,3
72075,3
72073,3
72109,3
72131,3
72113,3
72115,3
72149,3
72145,3
72069,3
72151,3
72143,3
72141,3
72139,3
72137,3
72135,3
72133,3
72129,3
72127,3
72125,3
72123,3
72121,3
72119,3
72117,3
72071,3
72023,3
72067,3
72029,3
72025,3
72021,3
72019,3
72017,3
72015,3
72013,3
72011,3
72009,3
72007,3
72005,3
72003,3
72001,3
72000,3
46102,3
46113,3
55000,3
54000,3
72065,3
72027,3
72031,3
72033,3
72063,3
72061,3
72059,3
72057,3
72055,3
72054,3
72053,3
72051,3
72049,3
72047,3
72045,3
72043,3
72041,3
72039,3
72037,3
72035,3
72153,3
55079,4
55059,4
55055,4
55078,4
55077,4
55075,4
55063,4
55053,4
55073,4
55071,4
55049,4
55069,4
55067,4
55051,4
55057,4
55065,4
55061,4
56011,4
55047,4
54107,4
55009,4
55007,4
55005,4
55003,4
55001,4
54109,4
54105,4
55013,4
54103,4
54101,4
54099,4
54097,4
54095,4
54093,4
55011,4
55015,4
55045,4
55083,4
55043,4
55041,4
55039,4
55037,4
55035,4
55033,4
55031,4
55017,4
55029,4
55027,4
55025,4
55023,4
55021,4
55019,4
55081,4
56033,4
55085,4
56023,4
56021,4
55121,4
55123,4
55125,4
55127,4
55129,4
54089,4
55131,4
55133,4
56019,4
55135,4
55137,4
56017,4
55139,4
55141,4
56000,4
56015,4
56013,4
56001,4
56003,4
56005,4
56007,4
56009,4
55119,4
56025,4
55087,4
55117,4
55089,4
55091,4
55093,4
55095,4
55097,4
55099,4
55101,4
55103,4
56045,4
56043,4
56041,4
55105,4
56039,4
55107,4
56037,4
55109,4
56035,4
55111,4
55113,4
56031,4
55115,4
56029,4
56027,4
54091,4
54003,4
54087,4
53061,4
10000,4
11000,4
2000,4
12000,4
35000,4
48000,4
18000,4
19000,4
37000,4
36000,4
53000,4
22000,4
29000,4
53039,4
53041,4
53043,4
53045,4
53047,4
53049,4
53051,4
53053,4
53055,4
53057,4
28000,4
23000,4
40000,4
26000,4
16000,4
15005,4
49000,4
31000,4
47000,4
50000,4
38000,4
17000,4
46000,4
20000,4
25000,4
34000,4
54085,4
30000,4
32000,4
5000,4
45000,4
24000,4
33000,4
44000,4
4000,4
2270,4
53059,4
21000,4
53063,4
54035,4
54039,4
54041,4
54043,4
54045,4
54047,4
54049,4
54051,4
54053,4
54055,4
54057,4
54059,4
54061,4
54063,4
54065,4
54067,4
54071,4
54073,4
54075,4
54077,4
54079,4
54081,4
54083,4
53065,4
54037,4
54069,4
53077,4
54013,4
53069,4
53071,4
53073,4
53075,4
54001,4
54005,4
53067,4
54009,4
54011,4
54007,4
54015,4
54023,4
54031,4
54029,4
54027,4
54025,4
54017,4
54033,4
54021,4
54019,4
1000,5
37177,5
37159,5
37161,5
37163,5
37165,5
37167,5
37169,5
37171,5
37173,5
37175,5
37179,5
38001,5
37181,5
37183,5
37185,5
37187,5
37189,5
37191,5
37193,5
37195,5
37197,5
37157,5
37155,5
37153,5
37151,5
37113,5
37115,5
37117,5
37119,5
37121,5
37123,5
37125,5
37127,5
37129,5
37131,5
37133,5
37135,5
37137,5
37139,5
37141,5
37143,5
37145,5
37147,5
37149,5
37199,5
38003,5
37109,5
38071,5
38053,5
38055,5
38057,5
38059,5
38061,5
38063,5
38065,5
38067,5
38069,5
38073,5
38005,5
38075,5
38077,5
38079,5
38081,5
38083,5
38085,5
38087,5
38089,5
38091,5
38051,5
38049,5
38047,5
38045,5
38007,5
38009,5
38011,5
38013,5
38015,5
38017,5
38019,5
38021,5
38023,5
38025,5
38027,5
38029,5
38031,5
38033,5
38035,5
38037,5
38039,5
38041,5
38043,5
37111,5
37107,5
38095,5
36113,5
36095,5
36097,5
36099,5
36101,5
36103,5
36105,5
36107,5
36109,5
36111,5
36115,5
37013,5
36117,5
36119,5
36121,5
36123,5
37001,5
37003,5
37005,5
37007,5
37009,5
36093,5
36091,5
36089,5
36087,5
36049,5
36051,5
36053,5
36055,5
36057,5
36059,5
36061,5
36063,5
36065,5
36067,5
36069,5
36071,5
36073,5
36075,5
36077,5
36079,5
36081,5
36083,5
36085,5
37011,5
37015,5
37105,5
37083,5
37065,5
37067,5
37069,5
37071,5
37073,5
37075,5
37077,5
37079,5
37081,5
37085,5
37017,5
37087,5
37089,5
37091,5
37093,5
37095,5
37097,5
37099,5
37101,5
37103,5
37063,5
37061,5
37059,5
37057,5
37019,5
37021,5
37023,5
37025,5
37027,5
37029,5
37031,5
37033,5
37035,5
37037,5
37039,5
37041,5
37043,5
37045,5
37047,5
37049,5
37051,5
37053,5
37055,5
38093,5
38097,5
41031,5
40069,5
40051,5
40053,5
40055,5
40057,5
40059,5
40061,5
40063,5
40065,5
40067,5
40071,5
40093,5
40073,5
40075,5
40077,5
40079,5
40081,5
40083,5
40085,5
40087,5
40089,5
40049,5
40047,5
40045,5
40043,5
40005,5
40007,5
40009,5
40011,5
40013,5
40015,5
40017,5
40019,5
40021,5
40023,5
40025,5
40027,5
40029,5
40031,5
40033,5
40035,5
40037,5
40039,5
40041,5
40091,5
40095,5
40001,5
41007,5
40145,5
40147,5
40149,5
40151,5
40153,5
41000,5
41001,5
41003,5
41005,5
41009,5
40097,5
41011,5
41013,5
41015,5
41017,5
41019,5
41021,5
41023,5
41025,5
41027,5
40143,5
40141,5
40139,5
40137,5
