YEAR,STATEA,STCO2AN,STCO2EQA,STCO2RTA,STC2ERTA,STCO2RA,STC2ERA,STCO2CRT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STNBCO2
2012,37,61760659.6,62094166.9,1055.997469,1061.69985,178.2286008,-1,1682.193032,2020.0652,-29548.5286,1057.5748,1745.3365,204.0432,162.3102,124.2352,183.6261,1876.7714
2012,38,33454500.19,33628574.16,1852.144114,1861.781384,217.2215486,-1,2358.157764,2366.3836,1146.3097,N/A,2363.8455,217.3781,137.7461,N/A,217.2514,2467.3081
2012,39,104821036.4,105342121.2,1615.845391,1623.878058,190.0763733,-1,1884.889896,2120.752359,3226.021526,991.9739,1898.4975,207.8463364,212.1003,118.8023,191.5634,1607.4683
2012,40,53328418.31,53535095.06,1371.656839,1376.972758,162.6547777,-1,1552.309275,2175.3432,1977.4247,1002.1874,1560.7302,201.2751,154.0586,118.7834,163.1564,1466.5252
2012,41,7896254.331,7932136.449,260.5484542,261.7324372,126.7861705,-1,1042.616518,2079.5253,N/A,845.6369,1073.6475,209.7601,N/A,118.3833,140.2508,1040.9882
2012,42,118496909.6,119092738.2,1060.771662,1066.105456,176.9909149,-1,1642.528745,2075.364472,2313.7443,908.2981,1624.0361,206.2068577,153.4324,119.0852,177.5005,1592.1416
2012,44,3768286.077,3772163.773,907.0332933,907.9666618,116.7050892,-1,907.6500426,N/A,2596.8356,916.6106,918.7721,N/A,163.0449,118.752,118.8694,915.143
2012,45,37176847.86,37380121.31,768.468517,772.6703053,170.4108582,-1,1649.147465,2128.3114,13174.5592,970.6538,1733.2372,204.3468,163.0449,120.926,180.5493,1757.9022
2012,46,3358271.784,3375716.544,558.8865837,561.7897564,203.1696639,-1,2139.997822,2197.4059,5412.9473,1303.8957,2139.9978,209.5995,152.1047,119.0674,203.1697,2001.1784
2012,47,42463377.07,42683368.55,1097.444289,1103.129857,192.8211986,-1,1911.483241,2163.4632,1773.1129,1014.7624,1946.1862,206.4102,163.0449,129.0718,194.893,1632.1561
2012,48,258352875.5,259305005.5,1202.487635,1206.919266,162.8364915,-1,1441.063409,2234.0778,3134.4766,927.8629143,1449.6022,214.0645,207.602,119.1884211,163.679,1310.6734
2012,49,35475233.39,35655461.89,1800.754038,1809.902595,191.4482139,-1,1886.355055,2067.3912,1420.5865,1033.5057,1888.3909,204.9744,147.0499,118.5871,191.7358,1607.7293
2012,50,13780.128,24420.52214,4.196063987,7.436075592,5.198848106,-1,76.73403342,N/A,3019.144,N/A,3019.144,N/A,162.4152,N/A,162.4152,130.908
2012,51,28892649.59,29043990.69,816.8776407,821.1564854,150.2763656,-1,1364.868063,1932.482,1726.3503,937.9911,1375.6967,192.5256,162.3538,118.5954,155.4812,1705.7182
2012,53,7342211.503,7394968.08,125.6857572,126.5888571,143.0952193,-1,1288.864923,2431.8756,1750.4148,854.9946714,1481.4292,207.7238,163.0449,118.528913,165.0349,1463.0838
2012,54,72352646.56,72745945.54,1971.101799,1981.816436,207.3558318,-1,2046.868501,2048.7291,N/A,1385.7475,2047.1737,207.6391,N/A,118.4078,207.3909,1756.3686
2012,55,43242292.89,43478456.13,1356.77185,1364.181717,184.0791384,-1,1865.359221,2280.6967,1682.182,892.4063,1928.4872,208.4567,158.9079,118.8306,191.4592,1797.7777
2012,56,52023827.46,52302542.29,2098.216971,2109.458055,208.0756423,-1,2347.326323,2377.8258,941.7136,679.2052,2350.7911,209.5338,148.3534,116.9571,208.7754,2351.601
2014,1,78643036.92,79077486,1053.856,1059.678,169.46,-1,1596.205,2182.673,1571.669,864.354,1626.479,198.624,163.325,117.448,171.974,1614.635
2014,2,2644805.351,2654106.334,875.018,878.096,138.934,-1,1214.76,2523.732,2133.904,880.12,1228.914,212.886,159.433,116.905,140.951,1241.396
2014,4,60422378.36,60793075.75,1110.911,1117.726,178.682,-1,1723.166,2237.294,3128.623,1029.474,1817.127,205.465,163.326,118.806,179.64,1375.789
2014,5,39535585.29,39817584.67,1283.787,1292.944,189.677,-1,1780.6,2126.045,,880.036,1852.58,209.739,,118.841,194.249,1382.65
2014,6,54587168.9,54774530.62,553.5,555.4,111.373,-1,844.774,2147.447,1512.334,859.378,868.243,205.789,150.375,117.86,118.734,914.451
2014,8,42616654.25,42896147.65,1582.868,1593.249,188.144,-1,1907.589,2247.754,10364.811,995.688,1914.878,208.204,163.326,119.304,188.747,1720.382
2014,9,8987821.628,9056717.19,534.166,538.26,119.888,-1,1034.754,2186.618,1764.747,894.941,980.567,209.749,157.484,118.261,125.823,1136.155
2014,10,3961771.727,3973589.414,1042.812,1045.923,130.502,-1,1050.357,2009.788,1409.134,985.773,1176.107,205.196,120.867,120.112,132.672,1110.213
2014,11,40046.514,40085.79,1184.598,1185.76,116.889,-1,1184.595,0,0,1184.598,1184.598,0,0,116.889,116.889,1184.598
2014,12,125753313.3,126414006,1093.679,1099.425,145.756,-1,1247.204,2165.21,1603.454,908.56,1275.888,203.007,121.338,120.379,150.599,1232.045
2014,13,69106579.22,69554394.25,1098.625,1105.744,164.355,-1,1521.627,2261.581,1317.354,854.063,1589.372,207.053,202.901,118.31,173.746,1602.483
2014,15,6781193.139,6830964.719,1329.104,1338.859,159.668,-1,1468.052,1999.86,1420.628,0,1522.126,205.622,163.298,0,171.422,1425.065
2014,16,1107906.033,1113532.046,146.717,147.462,74.371,-1,687.928,1158.384,100772,857.418,862.172,205.912,163.326,119.842,120.907,720.563
2014,17,99999815,100737475.3,989.441,996.739,202.543,-1,2127.313,2208.259,2794.218,1046.019,2144.351,207.82,162.811,119.228,204.399,2062.629
2014,18,113232514.5,114038178.5,1968.862,1982.87,201.588,-1,2032.424,2184.096,-39368.587,882.62,2082.728,207.251,163.326,119.072,202.831,1969.738
2014,19,38055321.66,38338857.06,1338.888,1348.863,205.577,-1,2143.029,2196.382,1552.857,991.426,2151.41,208.968,199.7,119.716,206.441,2162.761
2014,20,35029736.45,35282359.81,1408.86,1419.021,204.274,-1,2311.56,2352.076,4770.954,1566.877,2316.397,209.564,157.81,118.807,204.736,2288.986
2014,21,94007833.11,94726747.52,2068.46,2084.279,202.551,-1,2142.559,2166.138,1825.981,1126.677,2153.977,204.14,163.326,118.752,203.246,2137.485
2014,22,50474153.18,50707234.2,975.13,979.633,144.347,-1,1176.834,2197.406,1543.611,897.472,1226.571,211.442,205.312,116.028,150.273,1255.466
2014,23,2292308.362,2359733.61,346.119,356.299,66.365,-1,537.587,0,1843.087,636.607,693.386,0,171.571,102.209,107.653,648.047
2014,24,21940310.51,22118156.46,1160.266,1169.671,187.154,-1,2045.424,2155.075,5390.414,1123.192,2064.983,200.397,166.881,119.759,193.17,2079.138
2014,25,13778384.04,13887420.1,888.522,895.553,126.574,-1,1134.043,2042.551,1653.178,926.785,1096.978,200.409,154.991,119.853,134.71,1199.59
2014,26,67940295.66,68446445.48,1272.915,1282.398,185.982,-1,1920.678,2226.614,8748.576,1031.494,1996.046,208.872,157.651,119.386,194.334,1882.348
2014,27,34198306.05,34472151.51,1200.334,1209.946,189.735,-1,2008.779,2240.388,704.311,918.8,2090.154,208.519,56.794,110.288,199.549,1785.764
2014,28,27209854.06,27325002.22,987.168,991.346,145.563,-1,1212.698,1738.009,1396.346,900.429,1256.688,181.616,119.54,118.781,149.016,1243.881
2014,29,76592408.91,77198995.73,1744.027,1757.839,205.117,-1,1997.152,2050.08,6200.389,1003.129,1998.769,209.126,163.326,119.301,205.298,1924.159
2014,30,19566329.31,19704425.69,1293.316,1302.444,206.835,-1,2329.176,2414.679,1849.287,1382.073,2368.339,209.936,225.447,119.428,207.324,2194.927
2014,31,27467790.66,27676116.82,1393.203,1403.77,207.862,-1,2159.878,2177.411,3855.421,1260.058,2165.361,209.68,163.326,119.295,208.442,2162.574
2014,32,17268190.31,17335693,964.676,968.447,145.911,-1,1175.93,2222.419,-140.309,864.239,1167.619,209.729,163.321,118.643,145.511,1144.085
2014,33,3691522.009,3756629.846,377.874,384.538,100.46,-1,974.378,2078.85,1988.637,887.359,1151.505,205.165,150.867,120.489,142.878,1160.188
2014,34,18512129.1,18594472.85,554.096,556.56,123.044,-1,1066.294,2009.306,1766.96,941.026,1054.741,176.39,136.489,119.476,127.787,1127.218
2014,35,27162310.41,27338429.03,1681.588,1692.491,184.197,-1,1847.234,2197.867,2674.89,1042.937,1847.234,207.971,163.325,118.645,184.197,1657.703
2014,36,34851025.38,35005293.09,521.532,523.841,123.031,-1,1086.545,2102.731,1367.649,1043.656,1150.882,206.876,127.399,119.795,128.335,1260.291
2014,37,61856262.68,62288821.31,979.734,986.585,171.863,-1,1515.855,1947.092,2144.025,962.276,1601.143,204.788,146.595,119.251,177.762,1469.078
2014,38,32978634.42,33223033.79,1808.907,1822.312,216.649,-1,2378.661,2395.736,4260.17,1032.536,2385.459,217.369,163.326,118.86,216.774,2381.626
2014,39,107527606.1,108282178.4,1599.111,1610.333,191.297,-1,1845.738,2104.764,2887.051,882.146,1860.563,206.442,207.554,118.553,192.584,1928.843
2014,40,47430123,47705251.1,1355.074,1362.934,172.942,-1,1667.257,2234.99,1708.542,956.363,1679.013,204.713,163.326,118.841,173.638,1641.18
2014,41,9317739.159,9371444.824,310.019,311.806,126.563,-1,1090.689,2098.775,0,926.601,1163.698,209.76,0,116.532,139.083,1035.326
2014,42,109308570.7,110028991.6,989.022,995.541,173.6,-1,1599.957,2090.965,1548.847,896.926,1616.117,207.737,129.091,118.851,177.134,1596.805
2014,44,2785267.83,2788087.42,892.76,893.664,115.872,-1,896.162,0,1819.176,925.399,926.986,0,163.326,119.224,119.336,921.204
2014,45,35581834.95,35840698.45,732.45,737.778,176.76,-1,1653.028,2058.405,3972.47,918.393,1737.446,203.92,163.326,119.807,184.609,1553.123
2014,46,3399901.425,3423832.796,618.432,622.785,198.79,-1,2151.338,2340.411,3659.778,1053.198,2151.338,209.76,163.326,119.173,198.79,1765.737
2014,47,42356033.26,42652132.83,1065.468,1072.917,195.797,-1,1954.197,2192.732,1652.289,880.348,2005.265,206.895,164.718,119.282,197.784,1952.161
2014,48,259515373.2,260736899.8,1184.86,1190.438,165.652,-1,1452.012,2237.399,1283.797,899.181,1469.749,212.588,224.9,119.762,167.159,1384.362
2014,49,38780765.84,39052224.11,1771.437,1783.837,190.834,-1,1848.114,2081.076,1950.032,922.065,1850.277,205.16,163.324,118.025,191.155,1479.364
2014,50,66888.848,80676.847,19.044,22.969,25.45,-1,290.414,0,3207.389,0,3207.389,0,162.4,0,162.4,501.694
2014,51,33907673.1,34171818.51,876.784,883.615,152.261,-1,1435.044,1976.478,1674.668,982.689,1536.476,196.918,162.423,120.57,166.916,1344.34
2014,53,13039063.39,13129313.79,224.285,225.837,148.351,-1,1296.766,2436.889,1651.192,830.367,1425.925,209.76,149.24,118.745,163.761,1369.092
2014,54,79396883,80009680.13,1976.09,1991.342,206.849,-1,2044.62,2049.527,0,1432.354,2044.62,207.694,0,119.823,206.849,2062.713
2014,55,46199117.56,46534194.36,1514.515,1525.5,190.354,-1,1945.386,2238.444,1914.469,881.001,2009.57,208.17,141.65,120.08,197.208,1815.981
2014,56,49643934.33,50012815.25,1997.897,2012.743,208.517,-1,2235.12,2267.739,1716.076,682.739,2239.001,209.651,163.325,116.945,208.731,2234.14
2016,1,65211148.28,65536193.94,912.917,917.468,158.204,-1,1366.148,2040.94,1727.499,850.397,1404.737,194.863,163.326,118.814,161.441,1314.008
2016,2,2932682.544,2945831.405,925.862,930.013,137.836,-1,1301.511,2074.237,1541.578,1096.763,1311.311,212.251,165.353,116.891,139.146,1395.147
2016,4,50682559.95,50946079.81,932.225,937.072,168.141,-1,1563.018,2315.441,7564.857,894.627,1567.773,206.739,163.326,118.941,169.228,1400.953
2016,5,33717770.26,33927595.62,1115.65,1122.593,173.961,-1,1554.205,2174.785,,862.987,1611.949,208.866,,118.843,177.91,1455.784
2016,6,44648567.22,44798293.49,452.541,454.059,110.577,-1,846.16,1157.816,1326.333,867.885,867.421,208.527,169.714,117.685,117.897,884.751
2016,8,39953305.88,40213769.17,1468.373,1477.945,186.367,-1,1864.764,2137.239,70133.421,986.923,1874.198,203.214,163.326,118.952,187.236,1681.478
2016,9,9096160.084,9163103.459,498.467,502.135,112.932,-1,925.626,2668.72,2962.809,854.455,880.139,209.741,149.666,117.435,119.335,1039.569
2016,10,3874126.143,3882515.702,887.415,889.337,121.81,-1,893.185,2210.994,1334.94,903.985,1039.965,205.183,119.119,114.98,123.116,995.168
2016,11,18422.038,18470.088,481.786,483.042,48.276,-1,481.786,0,0,1555.026,1555.026,0,0,116.889,116.889,619.578
2016,12,121996344,122563560.3,1024.205,1028.967,139.936,-1,1170.185,2088.543,1812.025,893.703,1193.349,195.924,127.053,119.493,144.396,1205.661
2016,13,66567670.52,66946059.67,1001.754,1007.448,157.912,-1,1392.059,2268.129,1301.146,888.222,1464.213,207.02,192.306,118.925,164.165,1585.204
2016,15,7571577.478,7625203.236,1522.102,1532.882,163.536,-1,1707.184,2257.71,1603.69,0,1721.957,208.432,163.448,0,172.262,1605.47
2016,16,1477571.885,1482098.037,188.695,189.273,105.314,-1,748.62,928.726,2090.6,885.369,886.061,165.438,163.328,118.759,119.317,776.542
2016,17,76035677.09,76478309.88,811.318,816.041,190.608,-1,1950.001,2246.691,2129.561,1086.736,1970.076,208.537,162.57,126.623,192.197,1973.172
2016,18,91901514.98,92520117.29,1812.703,1824.905,192.403,-1,1910.486,2212.35,-14656.498,975.166,1965.829,207.084,163.326,121.382,194.02,1985.715
2016,19,27140014.84,27303529.78,997.858,1003.87,200.014,-1,1891.231,2015.283,574.702,1024.12,1904.19,209.327,172.469,119.332,201.273,1845.556
2016,20,28454163.08,28656515.88,1195.553,1204.056,202.337,-1,2257.333,2348.71,3396.417,1259.513,2262.592,209.703,154.592,118.712,202.835,2196.054
2016,21,78439289.93,78992483.62,1954.301,1968.084,197.404,-1,2043.12,2166.985,,903.929,2055.81,203.748,,118.801,198.228,2026.474
2016,22,46949097.21,47124511.1,878.85,882.134,137.654,-1,1059.951,2222.219,981.895,839.229,1113.707,192.596,202.969,117.364,141.707,1210.697
2016,23,1939972.213,2001323.717,336.964,347.62,66.238,-1,566.611,0,2030.186,818.286,850.006,0,171.594,118.826,121.155,694.601
2016,24,18819050.94,18944897.57,1012.682,1019.454,176.319,-1,1856.049,2124.875,6454.871,1441.41,1901.952,202.02,162.86,138.698,181.384,1895.823
2016,25,13121388.57,13220228.92,821.327,827.514,122.206,-1,1028.998,2187.494,1275.986,875.785,989.178,202.801,129.241,119.643,129.495,1044.504
2016,26,61658803.32,62004198.43,1099.854,1106.015,172.1,-1,1643.088,2262.303,1487.853,895.73,1699.032,208.567,213.765,117.973,178.84,1824.82
2016,27,30398578.57,30627099.13,1012.67,1020.283,178.266,-1,1763.983,2203.479,567.193,916.722,1853.687,209.805,54.524,118.674,190.095,1469.732
2016,28,29576726.27,29649438.79,940.716,943.029,129.601,-1,1038.071,2469.25,1425.034,954.423,1060.249,215.496,118.899,124.371,131.479,1091.622
2016,29,66337989.48,66778696.16,1687.742,1698.955,202.659,-1,1992.757,2101.349,11613.462,918.839,1998.954,209.29,163.326,118.501,203.07,1899.289
2016,30,17378904.07,17504709.8,1251.022,1260.078,206.89,-1,2233.676,2387.073,,1340.166,2284.625,209.89,,118.569,207.072,2203.058
2016,31,23828059.64,24005786.6,1281.153,1290.709,206.519,-1,2116.596,2137.849,3956.536,1397.292,2122.981,209.602,163.326,112.49,207.203,2164.975
2016,32,15101320.56,15133234.19,769.912,771.539,128.207,-1,968.764,2326.064,,860.21,962.473,209.578,,118.692,128.054,1048.135
2016,33,2994227.255,3054272.93,310.564,316.792,87.88,-1,862.44,2204.169,1680.582,860.115,965.006,205.105,133.665,118.862,127.824,941.424
2016,34,21643003.08,21720660.62,557.822,559.824,119.823,-1,919.706,2298.851,1470.757,861.794,914.086,183.151,117.507,118.89,122.759,1020.814
2016,35,25890069.93,26051652.64,1572.786,1582.602,180.917,-1,1823.72,2246.798,3182.962,1038.38,1823.793,208.2,163.326,118.54,180.924,1714.74
2016,36,31110393.2,31234832.86,464.02,465.876,117.759,-1,1003.193,2018.873,1215.11,939.015,1000.197,205.996,119.999,119.191,122.52,1104.25
2016,37,56716823.49,57057944.18,867.441,872.658,161.051,-1,1415.293,2005.638,2192.083,933.912,1462.692,204.614,134.569,118.874,165.833,1484.176
2016,38,31491914.61,31701421.6,1663.754,1674.823,213.62,-1,2267.847,2311.052,4345.931,1268.788,2271.526,217.207,163.325,118.857,213.643,2128.189
2016,39,87167527.92,87724916.13,1465.96,1475.334,183.429,-1,1738.249,2097.756,2831.567,919.539,1753.902,205.679,209.771,118.841,184.873,1978.92
2016,40,41046732.23,41227442.67,1043.716,1048.311,156.768,-1,1463.485,2255.522,1578.289,970.601,1474.508,201.262,163.326,118.755,157.484,1637.873
2016,41,9204524.036,9242795.719,305.891,307.162,120.18,-1,1008.677,2118.956,0,929.998,1062.003,209.76,0,116.074,128.819,1051.649
2016,42,91988694.24,92483567.11,855.444,860.046,162.018,-1,1451.169,2180.14,1324.457,859.758,1467.227,208.215,120.208,119.157,166.568,1623.651
2016,44,2858423.741,2861273.972,870.822,871.69,114.303,-1,876.607,0,1011.173,904.329,905.025,0,162.55,118.883,119.116,905.181
2016,45,30522786.49,30686386.27,629.428,632.802,163.978,-1,1529.757,2054.03,10934.154,974.842,1589.85,201.482,163.326,119.394,170.546,1541.402
2016,46,2640861.381,2657560.522,513.316,516.562,183.968,-1,1758.21,2067.814,3966.232,1052.789,1758.21,209.76,163.326,118.89,183.968,1591.818
2016,47,39363687.71,39607118.67,992.271,998.407,186.827,-1,1806.665,2130.48,1574.096,911.098,1831.783,205.414,165.152,118.849,188.671,1794.952
2016,48,238211887.1,239363719.2,1049.527,1054.602,159.596,-1,1352.484,2291.359,2297.627,864.337,1360.568,212.365,171.052,118.724,160.448,1401.807
2016,49,31029038.99,31239015.76,1627.372,1638.384,187.343,-1,1772.412,2073.095,1265.11,888.01,1777.411,205.174,163.335,117.681,187.772,1610.566
2016,50,54363.959,63858.345,56.89,66.825,21.666,-1,224.887,0,3251.2,0,3251.2,0,162.655,0,162.655,377.7
2016,51,37660633.02,37900268.51,813.802,818.98,137.74,-1,1205.272,1925.176,1769.892,901.075,1243.007,192.405,162.386,117.21,146.858,1168.474
2016,53,10658190.07,10720167.82,186.844,187.93,137.887,-1,1179.336,2434.367,1636.917,867.763,1319.577,209.76,145.509,118.683,154.336,1341.294
2016,54,75022430.97,75584463.37,1975.757,1990.559,204.877,-1,2059.003,2066.098,0,1303.364,2058.656,205.803,0,118.858,204.877,2032.829
2016,55,45115418.82,45362614.78,1388.88,1396.49,182.477,-1,1786.678,2271.653,1910.576,878.259,1838.705,208.792,161.268,119.176,187.731,1734.863
2016,56,47269240.57,47612316.95,2026.26,2040.967,208.069,-1,2289.411,2332.444,1710.405,955.295,2324.747,209.622,163.325,118.344,209.252,2291.029
2018,1,61869276.79,62179385.47,863.968,868.298,154.71,154.71,1341.222,1995.424,1934.766,846.989,1383.606,189.949,163.885,116.743,157.786,1264.594
2018,2,2833421.627,2847353.058,907.523,911.985,141.004,141.004,1280.625,2179.98,1577.023,1017.489,1289.986,213.478,166.442,117.011,142.503,1304.399
2018,4,53979981.05,54270283.25,967.044,972.245,165.765,165.765,1590.019,2323.051,4584.231,1008.183,1594.527,208.726,163.886,121.067,166.635,1439.098
2018,5,41184878.9,41450497.62,1211.332,1219.144,178.602,178.602,1583.239,2174.99,0,830.623,1632.164,210.529,0,118.975,181.912,1323.63
2018,6,41032693.19,41192731.56,420.389,422.029,109.829,109.829,836.174,1148.578,1934.834,857.489,857.588,207.584,196.751,117.705,118.081,871.488
2018,8,37726616.39,37970315.97,1362.569,1371.37,179.729,179.729,1754.5,2220.381,3983.687,1004.44,1763.68,209.993,163.885,118.925,180.564,1534.144
2018,9,9988991.679,10050464.43,506.367,509.483,116.418,116.418,912.428,2363.386,2475.467,843.032,877.728,211.522,153.67,117.705,120.539,1016.741
2018,10,2802853.67,2809493.067,898.258,900.386,120.486,120.486,906.244,2247.166,1067.721,749.136,1025.097,207.372,121.579,103.213,122.388,987.016
2018,11,16433.431,16478.186,438.874,440.07,45.969,45.969,438.874,0,0,1793.26,1793.26,0,0,117.01,117.01,472.952
2018,12,114827502.5,115364694.1,943.311,947.724,134.668,134.668,1085.754,2003.453,1154.467,869.773,1102.776,191.111,133.378,119.502,139.014,1136.321
2018,13,59863745.89,60213372.61,926.448,931.858,154.853,154.853,1335.22,2281.924,1335.036,883.234,1419.696,208.883,198.908,119.171,162.328,1584.457
2018,15,7412844.573,7468974.166,1513.324,1524.783,161.622,161.622,1684.038,2338.064,1616.234,0,1734.483,215.063,164.139,0,173.22,1640.312
2018,16,1455645.833,1460088.561,160.207,160.695,106.463,106.463,755.463,0,2028,885.068,885.08,0,163.888,119.329,119.33,775.299
2018,17,76406066.27,76939065.47,812.873,818.543,192.513,192.513,1964.431,2268.171,2327.889,984.973,1979.127,210.486,163.483,119.422,194.054,1932.672
